TrxRowID,MeterNo,PaidDate,Amount
2427991,21326972,8/30/2023,280000.0000
2427993,21421986,8/30/2023,30000.0000
2428001,10611609,8/30/2023,30000.0000
2428007,5114203,8/30/2023,50000.0000
2428009,2191598,8/30/2023,1094000.0000
2428014,11671996,8/30/2023,20000.0000
2428018,11613919,8/30/2023,50000.0000
2428028,21189859,8/30/2023,45000.0000
2428033,21171658,8/30/2023,10000.0000
2428034,2152419,8/30/2023,50000.0000
2428037,71710846,8/30/2023,30000.0000
2428043,11670343,8/30/2023,5000.0000
2428046,11672498,8/30/2023,60000.0000
2428050,21206960,8/30/2023,34000.0000
2428055,10511706,8/30/2023,10000.0000
2428057,4385883,8/30/2023,141800.0000
2428060,11613734,8/30/2023,69000.0000
2428065,21249089,8/30/2023,100000.0000
2428067,11614495,8/30/2023,203000.0000
2428077,11612071,8/30/2023,100000.0000
2428085,10614790,8/30/2023,25000.0000
2428086,5119989,8/30/2023,100000.0000
2428095,11213868,8/30/2023,250000.0000
2428100,68501037,8/30/2023,40000.0000
2428106,21174590,8/30/2023,27000.0000
2428118,71710035,8/30/2023,104959.0000
2428121,11222948,8/30/2023,30000.0000
2428123,11614273,8/30/2023,100000.0000
2428138,18302855,8/30/2023,50000.0000
2428140,11219333,8/30/2023,70500.0000
2428145,2157985,8/30/2023,65000.0000
2428148,2157985,8/30/2023,35000.0000
2428152,2157985,8/30/2023,63000.0000
2428155,10622447,8/30/2023,24000.0000
2428156,2157985,8/30/2023,79000.0000
2428161,2157985,8/30/2023,29000.0000
2428164,11670615,8/30/2023,70000.0000
2428165,2157985,8/30/2023,74000.0000
2428167,11215490,8/30/2023,35000.0000
2428170,10813552,8/30/2023,30000.0000
2428174,10842801,8/30/2023,22000.0000
2428175,11614579,8/30/2023,50000.0000
2428176,5113714,8/30/2023,52000.0000
2428178,21141104,8/30/2023,55000.0000
2428179,2163183,8/30/2023,40000.0000
2428180,21215461,8/30/2023,10000.0000
2428186,10515191,8/30/2023,20000.0000
2428194,69000326,8/30/2023,100000.0000
2428201,10811215,8/30/2023,10000.0000
2428202,10812847,8/30/2023,50000.0000
2428203,10820460,8/30/2023,50000.0000
2428207,10822634,8/30/2023,150000.0000
